username,public_key,total_balance,utxos
lion_swift_chaser,F2F107374E2FA53C0B01728C8EEF145C11378E611BFC515B055DD41F06FC381E,609984.00,609984.00
ice_free_seeker,E4AAC52C8B21B6D7C2F1ED88434EB417AC6652F7783F5302AF4107D0F7ADF417,750474.00,750474.00
dragon_wild_nomad,11E8EFDE38F4DBA2F08A5C00292708D0CABC39E1AB5D87DE1268A60E260FF1EE,234193.00,234193.00
mister_calm_chaser,BEFF39F505F25B4C4938845EBF8CB324BE26C2FEBEC439CC75AAB0930EBF13CD,371764.00,371764.00
mister_noble_roamer,AD799FD5E1B32A953722C93E81FBA9A70928D5DFB445D9BF0EB4345652A2AD19,113594.00,113594.00
professor_proud_hunter,1E22C35067C3949845AEDA348D9E291541D69632CC65E1AAEAF95CFE5630C6AB,684525.00,684525.00
agent_quick_roamer,7444EA29B7A449BB3C7CE8FA8EAE99807B4A77CAA6A74215A229B1E85824ECF5,451558.00,451558.00
ice_noble_traveler,6E1384C4DC12BDC2A2523DDE04464649866D7658A1216EE58BC829F9C7FD4238,814945.00,814945.00
agent_calm_runner,97CB3D7BA93BCCDD632F075EFE08E8484CFA826C84A46BB5ED5C54E96E6ABC46,647675.00,647675.00
dark_proud_nomad,06A3E92E5DB48499992F46CFB36E5C5622F32C71346196D2CCA72ABB5503E0D8,760161.00,760161.00
captain_silent_voyager,83392AD2D354A8F0633DE3D87412A394618C162D7AEAA3E641FBE5ADF732C366,247416.00,247416.00
fire_gentle_strider,7057DFA028F53699C956A999815E6A2C1C7A9F1EF1885E2808F0860C5C3D8F92,905479.00,905479.00
fire_free_nomad,3617B3F273681975F1310C9F466BB4AB5AA420C39D14E831A08BE388EF993724,344699.00,344699.00
storm_strong_prowler,FF07F22EB8B9CC256862CC0A0A3DC0B1D5881565FBB65F8F05E5AB396A543E55,957250.00,957250.00
professor_free_adventurer,79BF42F62D631DFFE44EAC300A17DBD9700701BD9FADD42A0ABF50D11C615930,349503.00,349503.00
tiger_loyal_wanderer,78178CA0E4C2FC08F7078B6E5C713F65C26BC12C7D7DA34888D40894B238B765,624988.00,624988.00
fire_strong_traveler,7054A3015168416E0DCB613093AB631D288EF6A624CDABE757B6FBBDCD800F0D,317778.00,317778.00
storm_mighty_adventurer,D27FAC9DBCBE87C1E4B3D85493979F44BF784FE3894156849CA660350A3D7AD6,369730.00,369730.00
tiger_loyal_fighter,C10096E0343320E46543B60A462DC8E34B6809E8140E4BACC6BB89D91B22F7FC,927772.00,927772.00
ice_fierce_stalker,2722C31F6025D88159ECCC9D88A150A6A2412DCFA28ED0C46BE8376D6973E9DB,929893.00,929893.00
dark_loyal_traveler,35DB4B2203B74FF3305919EBECC4216399B1513FE9177D6CF277471D7499F633,139452.00,139452.00
